[BusLocationSystem] Start Crolling
[BusLocationSystem] Url Connetion
[BusLocationSystem] Start Parse
[BusLocationSystem] 자갈치입구(자갈치역) bstopNm Find
[BusLocationSystem] 129.028695 gpsX Find
[BusLocationSystem] 35.0977533333 gpsY Find
[BusLocationSystem] 167920101 bstopId Find
[BusLocationSystem] 부평시장 bstopNm Find
[BusLocationSystem] 129.0251683333 gpsX Find
[BusLocationSystem] 35.1012583333 gpsY Find
[BusLocationSystem] 167770201 bstopId Find
[BusLocationSystem] 부평시장 bstopNm Find
[BusLocationSystem] 129.0251583998 gpsX Find
[BusLocationSystem] 35.1021367755 gpsY Find
[BusLocationSystem] 167920501 bstopId Find
[BusLocationSystem] 남포주유소 bstopNm Find
[BusLocationSystem] 129.0225111668 gpsX Find
[BusLocationSystem] 35.1015056102 gpsY Find
[BusLocationSystem] 167890101 bstopId Find
[BusLocationSystem] 보수초등학교 bstopNm Find
[BusLocationSystem] 129.0238655294 gpsX Find
[BusLocationSystem] 35.1056298688 gpsY Find
[BusLocationSystem] 210000301 bstopId Find
[BusLocationSystem] 보수초등학교 bstopNm Find
[BusLocationSystem] 129.02416 gpsX Find
[BusLocationSystem] 35.1054416667 gpsY Find
[BusLocationSystem] 167770301 bstopId Find
[BusLocationSystem] 보수사거리 bstopNm Find
[BusLocationSystem] 129.0243683333 gpsX Find
[BusLocationSystem] 35.1032483333 gpsY Find
[BusLocationSystem] 209980201 bstopId Find
[BusLocationSystem] 보수사거리 bstopNm Find
[BusLocationSystem] 129.0245 gpsX Find
[BusLocationSystem] 35.10313 gpsY Find
[BusLocationSystem] 167790201 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.028608921862 gpsX Find
[BusLocationSystem] 35.1028444487 gpsY Find
[BusLocationSystem] 167790202 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.0289521 gpsX Find
[BusLocationSystem] 35.10283595 gpsY Find
[BusLocationSystem] 167790203 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.0298886 gpsX Find
[BusLocationSystem] 35.10279323 gpsY Find
[BusLocationSystem] 167790204 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.030568 gpsX Find
[BusLocationSystem] 35.10277284 gpsY Find
[BusLocationSystem] 167950301 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.0301816667 gpsX Find
[BusLocationSystem] 35.1029433333 gpsY Find
[BusLocationSystem] 167950302 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.03038 gpsX Find
[BusLocationSystem] 35.10295 gpsY Find
[BusLocationSystem] 167950303 bstopId Find
[BusLocationSystem] 국제시장 bstopNm Find
[BusLocationSystem] 129.0296161 gpsX Find
[BusLocationSystem] 35.10308166 gpsY Find
[BusLocationSystem] 167790101 bstopId Find
[BusLocationSystem] 새들맨션 bstopNm Find
[BusLocationSystem] 129.0309433333 gpsX Find
[BusLocationSystem] 35.1050166667 gpsY Find
[BusLocationSystem] 167910301 bstopId Find
[BusLocationSystem] 새들맨션 bstopNm Find
[BusLocationSystem] 129.0305016667 gpsX Find
[BusLocationSystem] 35.1048733333 gpsY Find
[BusLocationSystem] 168250101 bstopId Find
[BusLocationSystem] 중구종합사회복지관 bstopNm Find
[BusLocationSystem] 129.02863 gpsX Find
[BusLocationSystem] 35.10577 gpsY Find
[BusLocationSystem] 167830201 bstopId Find
[BusLocationSystem] 중구종합사회복지관 bstopNm Find
[BusLocationSystem] 129.0270416667 gpsX Find
[BusLocationSystem] 35.10602 gpsY Find
[BusLocationSystem] 168410206 bstopId Find
[BusLocationSystem] 보수아파트 bstopNm Find
[BusLocationSystem] 129.0261566667 gpsX Find
